epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,662.407,0.73981,0.71947,1.19717,0.83505,0.79086,0.85203,0.66123,0.87706,0.74192,1.34107,0.000424187,0.000424187,0.000424187
43,677.725,0.71395,0.68702,1.17573,0.77297,0.73057,0.81834,0.62598,0.87463,0.88982,1.34465,0.000417119,0.000417119,0.000417119
44,693.059,0.71539,0.67453,1.15483,0.74815,0.75292,0.81373,0.63455,0.85873,0.89885,1.33248,0.00041005,0.00041005,0.00041005
45,708.224,0.7157,0.69055,1.18473,0.78802,0.73234,0.80101,0.62809,0.8577,1.00735,1.33906,0.000402982,0.000402982,0.000402982
46,723.258,0.69391,0.64586,1.16861,0.80857,0.73235,0.80313,0.62734,0.86335,0.98051,1.3278,0.000395913,0.000395913,0.000395913
47,738.92,0.70323,0.675,1.16545,0.72168,0.80302,0.81534,0.63591,0.86556,0.84632,1.34923,0.000388844,0.000388844,0.000388844
48,754.621,0.70124,0.64403,1.16507,0.75957,0.79641,0.84567,0.65709,0.84614,0.8393,1.31738,0.000381776,0.000381776,0.000381776
49,770.331,0.6756,0.61934,1.14665,0.75066,0.71702,0.77643,0.60373,0.84319,0.97191,1.32427,0.000374707,0.000374707,0.000374707
50,785.926,0.69616,0.60273,1.14817,0.78392,0.75317,0.81092,0.63947,0.8394,0.83618,1.32614,0.000367639,0.000367639,0.000367639
51,801.756,0.66203,0.60513,1.13786,0.75696,0.81512,0.81904,0.63256,0.85681,0.77549,1.34862,0.00036057,0.00036057,0.00036057
52,817.929,0.66206,0.59229,1.14137,0.87243,0.72496,0.83341,0.66781,0.82741,0.79031,1.32074,0.000353501,0.000353501,0.000353501
53,834.137,0.65304,0.59008,1.12433,0.81202,0.75847,0.84483,0.66071,0.8199,0.74016,1.30608,0.000346433,0.000346433,0.000346433
54,850.462,0.6428,0.56784,1.12287,0.83798,0.75721,0.84485,0.66716,0.84382,0.77856,1.32412,0.000339364,0.000339364,0.000339364
55,866.844,0.66775,0.5998,1.15097,0.76351,0.81299,0.84657,0.67298,0.82913,0.75853,1.33906,0.000332296,0.000332296,0.000332296
56,883.119,0.6518,0.59759,1.13314,0.81621,0.76478,0.82,0.64734,0.82089,0.95309,1.31315,0.000325227,0.000325227,0.000325227
57,899.861,0.64788,0.59645,1.13693,0.84558,0.80881,0.85162,0.67366,0.82891,0.66863,1.34577,0.000318158,0.000318158,0.000318158
58,916.639,0.63724,0.56076,1.11599,0.80545,0.72139,0.81524,0.63823,0.84872,0.83952,1.32818,0.00031109,0.00031109,0.00031109
59,932.896,0.62638,0.5499,1.10361,0.90302,0.76064,0.84614,0.66343,0.83601,0.76133,1.34133,0.000304021,0.000304021,0.000304021
60,948.778,0.61807,0.52983,1.10867,0.83102,0.79283,0.8473,0.66805,0.82837,0.75802,1.35071,0.000296953,0.000296953,0.000296953
61,963.516,0.63298,0.55203,1.12361,0.86013,0.75879,0.84584,0.66596,0.84053,0.78641,1.32228,0.000289884,0.000289884,0.000289884
62,977.345,0.61824,0.54009,1.11371,0.86534,0.75284,0.84797,0.67018,0.82287,0.7143,1.34639,0.000282815,0.000282815,0.000282815
63,991.645,0.61674,0.50708,1.10546,0.86224,0.81437,0.86829,0.69789,0.80888,0.64778,1.32398,0.000275747,0.000275747,0.000275747
64,1006.41,0.60567,0.50532,1.09646,0.85136,0.74344,0.84058,0.66016,0.84728,0.78778,1.35163,0.000268678,0.000268678,0.000268678
65,1021.4,0.59089,0.49442,1.09157,0.79472,0.78805,0.85714,0.67241,0.83308,0.78161,1.36664,0.00026161,0.00026161,0.00026161
66,1036.94,0.60459,0.49957,1.09824,0.82075,0.77418,0.83997,0.66168,0.83008,0.79913,1.36363,0.000254541,0.000254541,0.000254541
67,1052.17,0.60597,0.49267,1.09778,0.8133,0.77652,0.85398,0.67721,0.8235,0.78181,1.35225,0.000247472,0.000247472,0.000247472
68,1067.51,0.58954,0.48646,1.08374,0.75738,0.77107,0.82493,0.66235,0.83639,0.81109,1.34711,0.000240404,0.000240404,0.000240404
69,1082.94,0.59332,0.4854,1.08418,0.82334,0.78183,0.84716,0.66895,0.83992,0.77443,1.36355,0.000233335,0.000233335,0.000233335
70,1098.2,0.59132,0.4796,1.08334,0.80485,0.75967,0.82561,0.66538,0.80464,0.8485,1.31759,0.000226267,0.000226267,0.000226267
71,1113.62,0.58112,0.45943,1.07892,0.8963,0.71976,0.83012,0.66243,0.83919,0.75265,1.35036,0.000219198,0.000219198,0.000219198
72,1129.14,0.5877,0.46522,1.08967,0.80855,0.79768,0.84187,0.68315,0.80623,0.72398,1.3345,0.000212129,0.000212129,0.000212129
73,1144.8,0.58596,0.46396,1.08502,0.83352,0.77236,0.84055,0.66995,0.82777,0.8169,1.34899,0.000205061,0.000205061,0.000205061
74,1160.7,0.56843,0.44497,1.06795,0.84564,0.77612,0.83775,0.67269,0.8226,0.81787,1.33751,0.000197992,0.000197992,0.000197992
75,1176.79,0.56197,0.43714,1.06445,0.82197,0.78235,0.86128,0.69288,0.81064,0.71072,1.31749,0.000190924,0.000190924,0.000190924
76,1192.7,0.54884,0.4309,1.05402,0.79952,0.80233,0.83538,0.66777,0.80826,0.73693,1.30705,0.000183855,0.000183855,0.000183855
77,1208.64,0.55947,0.45355,1.06734,0.78291,0.79754,0.84256,0.6791,0.81426,0.8172,1.32438,0.000176786,0.000176786,0.000176786
78,1224.42,0.56743,0.43879,1.07501,0.83655,0.7829,0.84064,0.67072,0.83852,0.81472,1.3574,0.000169718,0.000169718,0.000169718
79,1240.8,0.53337,0.4249,1.04991,0.83191,0.78522,0.83891,0.67568,0.8076,0.80994,1.34494,0.000162649,0.000162649,0.000162649
80,1256.87,0.53865,0.40943,1.05853,0.82696,0.78109,0.85335,0.68434,0.81164,0.70266,1.34421,0.000155581,0.000155581,0.000155581
81,1272.69,0.52866,0.41378,1.05212,0.83462,0.78613,0.85082,0.68503,0.83514,0.77896,1.37137,0.000148512,0.000148512,0.000148512
82,1288.46,0.53478,0.41044,1.05056,0.79392,0.77877,0.82946,0.66777,0.82702,0.7931,1.36307,0.000141443,0.000141443,0.000141443
83,1303.79,0.52947,0.39699,1.05015,0.87855,0.76108,0.84895,0.68518,0.82399,0.78769,1.35092,0.000134375,0.000134375,0.000134375
