epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,196.361,0.67069,0.65484,1.05472,0.81022,0.78602,0.83711,0.65098,0.87728,0.80601,1.17404,0.000351734,0.000351734,0.000351734
43,201.002,0.65118,0.63106,1.04037,0.80455,0.78541,0.82146,0.63687,0.86452,0.83587,1.17024,0.000342899,0.000342899,0.000342899
44,205.714,0.66344,0.63363,1.03699,0.82242,0.76841,0.83162,0.63923,0.89751,0.84128,1.21148,0.000334063,0.000334063,0.000334063
45,210.36,0.65309,0.63686,1.04773,0.83194,0.76079,0.82674,0.64493,0.86438,0.8317,1.15795,0.000325227,0.000325227,0.000325227
46,214.975,0.63727,0.60275,1.03803,0.80907,0.7392,0.7997,0.62869,0.86643,0.97065,1.17368,0.000316391,0.000316391,0.000316391
47,219.595,0.65127,0.62077,1.0354,0.82268,0.77783,0.83698,0.65488,0.87266,0.81253,1.20327,0.000307555,0.000307555,0.000307555
48,224.26,0.63057,0.59534,1.03119,0.8855,0.75313,0.85075,0.66603,0.8512,0.75967,1.17286,0.00029872,0.00029872,0.00029872
49,228.867,0.62194,0.57145,1.02736,0.83921,0.77569,0.82796,0.64443,0.8591,0.86182,1.18733,0.000289884,0.000289884,0.000289884
50,233.564,0.6423,0.58514,1.03168,0.82238,0.79165,0.82602,0.64452,0.88618,0.79827,1.21173,0.000281048,0.000281048,0.000281048
51,238.152,0.61788,0.58271,1.02434,0.82353,0.81068,0.83757,0.64847,0.86692,0.78364,1.18056,0.000272212,0.000272212,0.000272212
52,242.767,0.60184,0.55385,1.0168,0.8797,0.74893,0.816,0.64041,0.87048,0.94256,1.18261,0.000263377,0.000263377,0.000263377
53,247.424,0.60753,0.54912,1.01392,0.8062,0.78656,0.81559,0.63696,0.85973,0.94103,1.19629,0.000254541,0.000254541,0.000254541
54,252.146,0.5996,0.55483,1.01681,0.8123,0.79791,0.83677,0.65266,0.86835,0.79889,1.19396,0.000245705,0.000245705,0.000245705
55,256.874,0.61579,0.56933,1.02839,0.86142,0.79153,0.8483,0.66183,0.85473,0.74823,1.17234,0.000236869,0.000236869,0.000236869
56,261.642,0.60859,0.55495,1.01736,0.86084,0.76744,0.83483,0.65138,0.86626,0.80332,1.20159,0.000228034,0.000228034,0.000228034
