epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,302.308,0.93573,3.34982,1.2431,0.01296,0.87776,0.20182,0.16319,0.83755,3.52701,1.14703,0.00023324,0.00023324,0.00023324
2,630.387,0.95607,2.42382,1.28181,0.30893,0.4613,0.34779,0.2487,1.02934,2.69477,1.29191,0.000447914,0.000447914,0.000447914
3,935.341,0.99544,2.04316,1.27357,0.49902,0.49172,0.51033,0.39133,0.98094,2.38373,1.2777,0.000639025,0.000639025,0.000639025
4,1240.27,0.92389,1.78303,1.23002,0.49121,0.52342,0.53639,0.40946,0.95801,2.5141,1.24566,0.000607971,0.000607971,0.000607971
5,1531.5,0.9301,1.66719,1.22118,0.57302,0.5849,0.62856,0.48808,0.9603,2.10754,1.2464,0.000572628,0.000572628,0.000572628
6,1797.83,0.90652,1.58563,1.18968,0.67402,0.59178,0.65852,0.52181,0.98519,1.81963,1.26133,0.000537285,0.000537285,0.000537285
7,2057.39,0.86727,1.46197,1.17611,0.66278,0.56505,0.66412,0.52799,0.93407,1.76673,1.21417,0.000501942,0.000501942,0.000501942
8,2293.42,0.86253,1.39301,1.16245,0.67634,0.67603,0.71789,0.55987,0.93476,1.9664,1.20831,0.000466599,0.000466599,0.000466599
9,2542.89,0.84531,1.29287,1.15221,0.70085,0.69251,0.73046,0.57451,0.90864,1.53716,1.1962,0.000431256,0.000431256,0.000431256
10,2810.63,0.82707,1.26669,1.13952,0.75743,0.72007,0.78191,0.61479,0.90398,1.33674,1.19702,0.000395913,0.000395913,0.000395913
11,3068.96,0.78034,1.35308,1.11977,0.72298,0.69489,0.74545,0.59073,0.90253,1.46926,1.20934,0.00036057,0.00036057,0.00036057
12,3341.28,0.76478,1.24735,1.10957,0.74253,0.70144,0.75222,0.59164,0.89847,1.53125,1.20045,0.000325227,0.000325227,0.000325227
13,3611.23,0.73607,1.18995,1.08581,0.71924,0.7186,0.75851,0.60042,0.88182,1.41701,1.16428,0.000289884,0.000289884,0.000289884
14,3935.45,0.71738,1.11682,1.06852,0.71293,0.74404,0.75983,0.62068,0.84225,1.43245,1.15241,0.000254541,0.000254541,0.000254541
15,4203.98,0.70197,1.05506,1.06042,0.74328,0.78226,0.80114,0.64003,0.86379,1.27219,1.16473,0.000219198,0.000219198,0.000219198
16,4453.19,0.687,1.02274,1.0564,0.78958,0.71352,0.78789,0.64548,0.83348,1.23978,1.14438,0.000183855,0.000183855,0.000183855
17,4683.17,0.68071,0.98918,1.0369,0.80795,0.73657,0.81636,0.66016,0.84167,1.19417,1.15297,0.000148512,0.000148512,0.000148512
18,4937.26,0.66234,0.93566,1.03306,0.7996,0.76419,0.82256,0.66518,0.84853,1.17059,1.14483,0.000113169,0.000113169,0.000113169
19,5166.75,0.6487,0.88071,1.01951,0.76634,0.80051,0.81834,0.66044,0.8494,1.16542,1.1543,7.7826e-05,7.7826e-05,7.7826e-05
20,5432.08,0.64365,0.87857,1.01749,0.80079,0.7561,0.81945,0.66479,0.84097,1.174,1.15113,4.2483e-05,4.2483e-05,4.2483e-05
