epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,637.32,0.73939,0.68013,1.18629,0.77932,0.78213,0.83676,0.66514,0.86029,0.80624,1.33502,0.000424187,0.000424187,0.000424187
43,652.059,0.70877,0.67768,1.16971,0.84709,0.75262,0.83721,0.673,0.84618,0.82048,1.309,0.000417119,0.000417119,0.000417119
44,666.817,0.71368,0.6455,1.17398,0.8163,0.757,0.84559,0.6703,0.84746,0.78947,1.30136,0.00041005,0.00041005,0.00041005
45,681.53,0.70796,0.61271,1.17832,0.79658,0.77678,0.82673,0.65899,0.83691,0.82969,1.29176,0.000402982,0.000402982,0.000402982
46,696.163,0.70348,0.62738,1.18256,0.79489,0.75604,0.83736,0.68204,0.82592,0.81746,1.29268,0.000395913,0.000395913,0.000395913
47,710.897,0.70586,0.64681,1.17188,0.8284,0.80153,0.86353,0.69055,0.85524,0.71764,1.31518,0.000388844,0.000388844,0.000388844
48,725.672,0.68486,0.62934,1.15975,0.7979,0.7895,0.86131,0.68432,0.83993,0.75164,1.31267,0.000381776,0.000381776,0.000381776
49,740.265,0.69667,0.60173,1.15596,0.84199,0.7724,0.85648,0.69096,0.83017,0.74632,1.30152,0.000374707,0.000374707,0.000374707
50,755.183,0.68134,0.57121,1.15821,0.83339,0.77497,0.85283,0.67524,0.84355,0.75257,1.31613,0.000367639,0.000367639,0.000367639
51,769.999,0.67423,0.57974,1.15813,0.78637,0.77863,0.85468,0.67938,0.83586,0.80065,1.30436,0.00036057,0.00036057,0.00036057
52,784.67,0.67074,0.57485,1.13683,0.83082,0.72941,0.83966,0.67369,0.83354,0.777,1.30326,0.000353501,0.000353501,0.000353501
53,799.41,0.67512,0.59426,1.14709,0.78873,0.77657,0.83869,0.68161,0.8229,0.729,1.289,0.000346433,0.000346433,0.000346433
54,814.038,0.67159,0.57917,1.14844,0.82527,0.74583,0.83579,0.67702,0.81977,0.80017,1.28371,0.000339364,0.000339364,0.000339364
55,828.862,0.65809,0.57692,1.13125,0.80991,0.78854,0.83597,0.67572,0.82583,0.72813,1.29417,0.000332296,0.000332296,0.000332296
56,843.594,0.67674,0.57785,1.14168,0.85599,0.77232,0.85057,0.69456,0.81561,0.72365,1.28185,0.000325227,0.000325227,0.000325227
57,858.73,0.65633,0.54957,1.13574,0.81918,0.77742,0.85081,0.69804,0.80647,0.71872,1.27782,0.000318158,0.000318158,0.000318158
58,874.397,0.65257,0.54196,1.12406,0.81957,0.74862,0.85931,0.69967,0.83938,0.75272,1.30144,0.00031109,0.00031109,0.00031109
59,890.041,0.66342,0.55556,1.13342,0.80698,0.79638,0.85137,0.69684,0.81811,0.72791,1.29637,0.000304021,0.000304021,0.000304021
60,905.366,0.64339,0.53538,1.12519,0.7937,0.8086,0.85146,0.69852,0.81068,0.75329,1.28093,0.000296953,0.000296953,0.000296953
61,920.848,0.64822,0.54619,1.12937,0.80881,0.81176,0.85976,0.68672,0.84096,0.72768,1.32627,0.000289884,0.000289884,0.000289884
62,937.215,0.62968,0.51427,1.11422,0.80023,0.80691,0.85623,0.69856,0.81307,0.71886,1.29296,0.000282815,0.000282815,0.000282815
63,953.982,0.62343,0.50808,1.11821,0.86524,0.77379,0.86439,0.7031,0.79865,0.70494,1.28348,0.000275747,0.000275747,0.000275747
64,970.362,0.6247,0.52509,1.11378,0.80466,0.77906,0.84247,0.6855,0.81723,0.78745,1.28678,0.000268678,0.000268678,0.000268678
65,987.567,0.62084,0.49496,1.11351,0.87567,0.75311,0.86939,0.71246,0.80929,0.67646,1.28595,0.00026161,0.00026161,0.00026161
66,1003.62,0.607,0.49889,1.09994,0.84674,0.81077,0.86893,0.7143,0.79664,0.66291,1.276,0.000254541,0.000254541,0.000254541
67,1018.96,0.59814,0.4674,1.08319,0.82223,0.81366,0.86933,0.71013,0.81621,0.69525,1.29392,0.000247472,0.000247472,0.000247472
68,1033.85,0.60442,0.479,1.10753,0.86583,0.79267,0.87241,0.70373,0.83202,0.69567,1.29238,0.000240404,0.000240404,0.000240404
69,1048.51,0.61372,0.48782,1.09841,0.84109,0.80897,0.86625,0.70898,0.80653,0.69911,1.26549,0.000233335,0.000233335,0.000233335
70,1063.11,0.59337,0.4757,1.08768,0.81811,0.81343,0.86764,0.71248,0.79412,0.66941,1.28882,0.000226267,0.000226267,0.000226267
